text,class,cleaned_text,original_length,cleaned_length
"Jarmo Honkamaa , head of the oil refining business at Neste Oil , says the situation looks promising from their viewpoint .",positive,jarmo honkamaa head of the oil refining business at neste oil says the situation looks promising from their viewpoint,22,19
"ADP News - Nov 6 , 2008 - Finnish retail software developer Aldata Solution Oyj OMX : ALD1V said today that it swung to a net profit of EUR 2.1 million USD 2.7 m for the first nine months of 2008 versus a net loss of EU",positive,adp news nov 2008 finnish retail software developer aldata solution company omx ald1v said today that it swung to a net profit of euro 2.1 million usd 2.7 for the first nine months of 2008 versus a net loss of eu,47,41
"Mformation and Nokia noted they have established interoperability agreements that cover commercially proven , standards-based management of mobile devices , as well as mobile device security and mobile application management .",positive,mformation and nokia noted they have established interoperability agreements that cover commercially proven standards based management of mobile devices as well as mobile device security and mobile application management,31,29
"Nokia will deliver a WCDMA 3G-HSPA radio network , including the modular , high capacity Nokia Flexi WCDMA base station to Indosat .",neutral,nokia will deliver a wcdma 3g hspa radio network including the modular high capacity nokia flexi wcdma base station to indosat,23,21
Operating profit totaled EUR 17.7 mn compared to EUR 17.6 mn in the corresponding period in 2007 .,positive,operating profit totaled euro 17.7 million compared to euro 17.6 million in the corresponding period in 2007,18,17
"Profit after taxes was EUR 0.1 mn , compared to EUR -0.4 mn the previous year .",positive,profit after taxes was euro 0.1 million compared to euro 0.4 million the previous year,17,15
Rapala estimates its net sales for 2008 will increase by between 8.0 pct and 12 pct assuming 2007 exchange rates .,positive,rapala estimates its net sales for 2008 will increase by between 8.0 percent and 12 percent assuming 2007 exchange rates,21,20
"Russian export duties will activate harvesting in Finland , and sales in Russia will increase also .",positive,russian export duties will activate harvesting in finland and sales in russia will increase also,17,15
"Tectia Corporation HEL : TEC1V , a provider of real-time security solutions , today announced that it has appointed LAN2LAN , a provider of IT services in the UK , to distribute its data security and manage file transfer software .",positive,tectia corporation Helsinki tec1v a provider of real time security solutions today announced that it has appointed lan2lan a provider of it services in the uk to distribute its data security and manage file transfer software,41,36
"The company said that it will supply the WCDMA 3G-HSPA radio network , including the modular , high capacity Nokia Flexi WCDMA base station in East Java , Bali , Sumatra and Batam .",positive,the company said that it will supply the wcdma 3g hspa radio network including the modular high capacity nokia flexi wcdma base station in east java bali sumatra and batam,34,30
"The contract traded at an all-time high of $ 50,200 a ton on April 24 .",neutral,the contract traded at an all time high of 50200 a ton on april 24,16,15
"The EBITDA was EUR116m compared to EUR115m , corresponding to an EBITDA margin of 33 % .",positive,the ebitda was eur116m compared to eur115m corresponding to an ebitda margin of 33,17,14
The impact on TietoEnator 's net sales for 2008 from the purchase is expected to be some 11 mln euro $ 15.9 mln .,neutral,the impact on tietoenator net sales for 2008 from the purchase is expected to be some 11 million euro 15.9 million,24,21
The optimization of the steel components heating process will reduce the energy consumption .,positive,the optimization of the steel components heating process will reduce the energy consumption,14,13
These savings will have full impact as of the beginning of 2007 .,neutral,these savings will have full impact as of the beginning of 2007,13,12
This assignment strengthens Poyry 's position as an international provider of engineering and project services to the chemical process industry .,positive,this assignment strengthens poyry position as an international provider of engineering and project services to the chemical process industry,21,19
This new partnership agreement represents a significant milestone for both parties .,positive,this new partnership agreement represents a significant milestone for both parties,12,11
"Tiimari Latvian representative Ineta Zaharova said that the company earned LVL 122,000 in 2005 profit , which is 20 times more that in 2004 .",positive,tiimari latvian representative ineta zaharova said that the company earned lvl 122000 in 2005 profit which is 20 times more that in 2004,25,23
"Via the agreement , Ramirent will expand the range of equipment and services it delivers to Destia , Ramirent Finland 's managing director Kari Aulasmaa , said .",positive,via the agreement ramirent will expand the range of equipment and services it delivers to destia ramirent finland managing director kari aulasmaa said,28,23
"Via the takeover , Panostaja further expands its business area specialising in digital printing , which since previously consists of the subsidiaries Kopijyva Oy and Sokonet Oy .",positive,via the takeover panostaja further expands its business area specialising in digital printing which since previously consists of the subsidiaries kopijyva oy and sokonet oy,28,25
"The share capital of Alma Media Corporation (business ID 1944757-4)is EUR 45,031,513.80 and it is divided into 75,052,523 shares .",neutral,the share capital of alma medium corporation business id 1944757 4is euro 45031513.80 and it is divided into 75052523 shares,20,20
"Incap Contract Manufacturing will carry out the manufacturing for these agreements at its factory in Tumkur , near Bangalore .",neutral,incap contract manufacturing will carry out the manufacturing for these agreements at its factory in tumkur near bangalore,20,18
"It will be operated by Nokia , and supported by its Nokia NetAct network and service management system .",neutral,it will be operated by nokia and supported by its nokia netact network and service management system,19,17
28 January 2011 - Finnish technology center operator Technopolis Oyj (HEL : TPS1V)said today it will invest EUR22 .5 m in the construction of the second phase of an office facility in Tampere .,neutral,28 january 2011 finnish technology center operator technopolis company Helsinki tps1vsaid today it will invest eur22.5 in the construction of the second phase of an office facility in tampere,34,29
Comptel Corporation will publish its financial statements for 2008 on 12 February 2009 .,neutral,comptel corporation will publish its financial statements for 2008 on 12 february 2009,14,13
The shops are located in the capital region and the Paijat-Hame region .,neutral,the shops are located in the capital region and the paijat hame region,13,13
The carrier said its Area travel agency is to sell most of its outlets to sister chain Suomen Matkatoimisto (SMT)and use its remaining bricks-and-mortar presence to primarily target business customers going forward .,neutral,the carrier said its area travel agency is to sell most of its outlets to sister chain suomen matkatoimisto smtand use its remaining bricks and mortar presence to primarily target business customers going forward,33,34
The annual net sales of the unit is some EUR 5 million and it currently employs some 55 people .,neutral,the annual net sales of the unit is some euro million and it currently employs some 55 people,20,18
"On the following workday customers can check from their home computers how their purchases are divided between different ingredient groups , how much energy various products contain and what is the nutritional content of all purchases .",neutral,on the following workday customers can check from their home computers how their purchases are divided between different ingredient groups how much energy various products contain and what is the nutritional content of all purchases,37,35
"The store is located in Poznan in a shopping center named Pestka , the company added .",neutral,the store is located in poznan in a shopping center named pestka the company added,17,15
"Following its strategy , Tikkurila has established a fully-owned sales company TOO Tikkurila in Almaty , Kazakhstan , for marketing decorative paints under the Finnish Tikkurila brand and the Russian Teks brand .",neutral,following its strategy tikkurila has established a fully owned sales company too tikkurila in almaty kazakhstan for marketing decorative paints under the finnish tikkurila brand and the russian teks brand,33,30
Asian traffic declined by 3.4 per cent .,negative,asian traffic declined by 3.4 per cent,8,7
"Raute , headquartered in Nastola , Finland , is a technology company serving the wood products industry worldwide .",neutral,raute headquartered in nastola finland is a technology company serving the wood products industry worldwide,19,15
"Consumer products manufacturer Fiskars Corp. will open a distribution and warehouse center in Southaven , creating 100 jobs .",positive,consumer products manufacturer fiskars corp. will open a distribution and warehouse center in southaven creating 100 jobs,19,17
Atria will also buy the shares of Kauhajoen Teurastamokiinteistot Oy (Kauhajoki slaughterhouse property)from Itikka Co-operative .,neutral,atrium will also buy the shares of kauhajoen teurastamokiinteistot oy kauhajoki slaughterhouse propertyfrom itikka co operative,16,16
The price will be specified at the completion date .,neutral,the price will be specified at the completion date,10,9
A total of $ 78 million will be invested in the project .,neutral,a total of 78 million will be invested in the project,13,11
"` Nordea 's definitely too big for Sampo to acquire , ' said an analyst ` But Sampo would appear to have an agenda for Nordea ahead of the privatisation .",neutral,nordea definitely too big for sampo to acquire said an analyst but sampo would appear to have an agenda for nordea ahead of the privatisation,31,25
`` Fixed Mobile Convergence solutions represent a key value proposition in today 's communication market .,neutral,fixed mobile convergence solutions represent a key value proposition in today communication market,16,13
`` There is no room to modify the share component as we have already indicated . '',neutral,there is no room to modify the share component as we have already indicated,17,14
`` We were the lowest bidders and now the final approval is awaited . '',positive,we were the lowest bidders and now the final approval is awaited,15,12
"1 p.m. Central office of Nordea Bank 19 3-ya ulitsa Yamskogo Polya , Building 1 Telephone : 495 777-34-77 ext. 3932 , 3931 03.02.2011 Unimilk - EGM 03-04 .02.2011 XVI international business-summit Food Business Russia 2011 will take place .",neutral,p.m. central office of nordea bank 19 ya ulitsa yamskogo polya building telephone 495 777 34 77 ext 3932 3931 03.02.2011 unimilk egm 03 04.02.2011 xvi international business summit food business russia 2011 will take place,40,36
15 November 2010 - Finnish energy company Fortum Oyj HEL : FUM1V said today it and partners started negotiations to establish a new operating model for energy supply in the Turku region of western Finland .,neutral,15 november 2010 finnish energy company fortum company Helsinki fum1v said today it and partners started negotiations to establish a new operating model for energy supply in the turku region of western finland,36,33
"561,470 new shares under 2003 option rights plan Packaging company Huhtamaki Oyj reported on Monday that a total of 561,470 new shares of the company have been issued based on share subscriptions under its 2003 option rights plan .",neutral,561470 new shares under 2003 option rights plan packaging company huhtamaki company reported on monday that a total of 561470 new shares of the company have been issued based on share subscriptions under its 2003 option rights plan,39,38
"A meeting for the media and analysts will be held on the same day at 10:30 a.m. at Stonesoft Headquarters in Helsinki , Italahdenkatu 22 A. The Interim report will be presented by Stonesoft 's CEO Ilkka Hiidenheimo .",neutral,a meeting for the medium and analysts will be held on the same day at 1030 a.m. at stonesoft headquarters in helsinki italahdenkatu 22 a. the interim report will be presented by stonesoft ceo ilkka hiidenheimo,39,36
A meeting of Glisten shareholders to vote on the bid will be held on 12 March .,neutral,a meeting of glisten shareholders to vote on the bid will be held on 12 march,17,16
"A replay will be available until 27 October 2006 in the following numbers : US callers : +1 617-á801-á6888 , non-US callers : +44 20 7365 8427 , access code : 2659 5401 .",neutral,a replay will be available until 27 october 2006 in the following numbers us callers 617 á801 á6888 non us callers 44 20 7365 8427 access code 2659 5401,34,29
"A total of 185 Wonderware Certified SIs are available to integrate and support Wonderware products such as InTouch -« HMI software , IndustrialSQL Server historian , Wonderware Information Server , DT Analyst software or QI Analyst SPC software .",neutral,a total of 185 wonderware certified sis are available to integrate and support wonderware products such as intouch hmi software industrialsql server historian wonderware information server dt analyst software or qi analyst spc software,39,34
A. Le Coq had a market share of 41.3 percent and rival beverage group Saku 32.1 percent .,neutral,a. le coq had a market share of 41.3 percent and rival beverage group saku 32.1 percent,18,17
"About 36 % of this came from Aspo Chemicals , 39 % from Aspo Shipping and 25 % from Aspo Systems .",neutral,about 36 of this came from aspo chemicals 39 from aspo shipping and 25 from aspo systems,22,17
Finnish food industry companies HK Ruokatalo and Atria will form a joint venture company called L+ñnsi-Kalkkuna to produce turkey meat .,positive,finnish food industry companies hk ruokatalo and atrium will form a joint venture company called lñnsi kalkkuna to produce turkey meat,21,21
Finnish plumbing and heating systems supplier Uponor is temporarily laying off its whole workforce in Finland for two weeks as of mid-July 2009 .,negative,finnish plumbing and heating systems supplier uponor is temporarily laying off its whole workforce in finland for two weeks as of mid july 2009,24,24
Finnish property investment company Citycon plans to issue directed subordinated convertible bonds to institutional investors .,neutral,finnish property investment company citycon plans to issue directed subordinated convertible bonds to institutional investors,16,15
"Member of the HK Ruokatalo Group in Finland , Scan , is launching a joint venture slaughterhouse with Team Ugglarp in Sk+Ñne , southern Sweden .",neutral,member of the hk ruokatalo group in finland scan is launching a joint venture slaughterhouse with team ugglarp in skñne southern sweden,26,22
"According to Aktia Asset Management , Finnish analysts ' forecasts for 2009 are still too high .",negative,according to aktia asset management finnish analysts forecasts for 2009 are still too high,17,14
"According to Soosalu , particular attention was paid to residents privacy and security in the design of the Aleksandri Street building .",neutral,according to soosalu particular attention was paid to residents privacy and security in the design of the aleksandri street building,22,20
"According to statistics by the Finnish Maritime Administration , shipping did not increase much in January-August 2009 , however .",neutral,according to statistics by the finnish maritime administration shipping did not increase much in january august 2009 however,20,18
"According to the company , a decision in the issue will be made in the summer of 2010 , at the earliest , and in the summer of 2011 , at the latest .",neutral,according to the company a decision in the issue will be made in the summer of 2010 at the earliest and in the summer of 2011 at the latest,34,29
"According to the company , the lay-offs will be temporary .",neutral,according to the company the lay offs will be temporary,11,10
"According to the Finnish-Russian Chamber of Commerce , all the major construction companies of Finland are operating in Russia .",neutral,according to the finnish russian chamber of commerce all the major construction companies of finland are operating in russia,20,19
"According to the notification , the holdings of Ameriprice Inc. and its group companies are now in total 808,973 shares , which represent 3.582 % of Tekla -¦ s shares and voting rights .",neutral,according to the notification the holdings of ameriprice inc. and its group companies are now in total 808973 shares which represent 3.582 of tekla shares and voting rights,34,28
"According to the report , Elisa 's and DNA 's joint market share of Finland 's telecom market is 59 % .",neutral,according to the report elisa and dna joint market share of finland telecom market is 59,22,16
"After the sale , Savcor Group Ltd will comprise Savcor ART , a corporate function and an investment in Cencorp Corporation .",neutral,after the sale savcor group ltd will comprise savcor art a corporate function and an investment in cencorp corporation,22,19
"Ahlstrom 's 5,800 employees serve customers via sales offices and production facilities in more than 20 countries on six continents .",neutral,ahlstrom 5800 employees serve customers via sales offices and production facilities in more than 20 countries on six continents,21,19
Ahlstrom 's share is quoted on the NASDAQ OMX Helsinki .,neutral,ahlstrom share is quoted on the nasdaq omx helsinki,11,9
Airbus will attempt to evacuate up to 873 people within 90 seconds .,neutral,airbus will attempt to evacuate up to 873 people within 90 seconds,13,12
All YIT Capital Markets Day materials will be available on the company 's Internet site at www.yitgroup.com/investors at 10:30 on September 26 .,neutral,all yit capital markets day materials will be available on the company internet site at www.yitgroup.cominvestors at 1030 on september 26,23,21
"Alma Media holds 70 % of this company , the remaining shares being owned by the company 's key employees .",neutral,alma medium holds 70 of this company the remaining shares being owned by the company key employees,21,17
Almost the entire office building will be occupied by Metso .,neutral,almost the entire office building will be occupied by metso,11,10
Also the development of online businesses will continue .,neutral,also the development of online businesses will continue,9,8
"As a result of the transaction , Sanoma Budapest has acquired a stake in the online store Egeszsegbolt .",neutral,as a result of the transaction sanoma budapest has acquired a stake in the online store egeszsegbolt,19,17
"As reported June 26 , `` both circuits continued to alternately report the track as vacant and then occupied almost constantly from June 17 , when part of the track signaling device was replaced , to the time of the crash , according to the Metro source . ''",neutral,as reported june 26 both circuits continued to alternately report the track as vacant and then occupied almost constantly from june 17 when part of the track signaling device was replaced to the time of the crash according to the metro source,49,42
"At 10.58 am , Outokumpu declined 2.74 pct to 24.87 eur , while the OMX Helsinki 25 was 0.55 pct higher at 2,825.14 and the OMX Helsinki added 0.64 pct to 9,386.89 .",neutral,at 10.58 am outokumpu declined 2.74 percent to 24.87 euro while the omx helsinki 25 was 0.55 percent higher at 2825.14 and the omx helsinki added 0.64 percent to 9386.89,33,30
"At end-August , Sampo was Nordea 's biggest shareholder with a 20.6 % stake , followed by the state with 19.9 % .",neutral,at end august sampo was nordea biggest shareholder with a 20.6 stake followed by the state with 19.9,23,18
"At first , Solteq 's services to companies operating in the St. Petersburg area will include maintenance and material management systems and data collection solutions .",neutral,at first solteq services to companies operating in the st. petersburg area will include maintenance and material management systems and data collection solutions,26,23
Autotank Group is part of Aspo 's Systems Division .,neutral,autotank group is part of aspo systems division,10,8
Basware Einvoices Oy will be merged into the parent company during the present fiscal period .,neutral,basware einvoices oy will be merged into the parent company during the present fiscal period,16,15
"Because the application can be considered as a hacking application , it is classified by F-Secure as riskware .",neutral,because the application can be considered as a hacking application it is classified by secure as riskware,19,17
Benefon 's target is to lay off temporarily of permanently up to 20 % of the Salo plant 's staff .,negative,benefon target is to lay off temporarily of permanently up to 20 of the salo plant staff,21,17
"Bids or offers include at least 1,000 shares and the value of the shares must correspond to at least EUR4 ,000 .",neutral,bids or offers include at least 1000 shares and the value of the shares must correspond to at least eur4 000,22,21
CapMan made its initial investment in OneMed in June 2006 .,neutral,capman made its initial investment in onemed in june 2006,11,10
"CapMan said the deal 's effect on its cash flow for 2009 totals EUR3 .4 m , but the transaction would not affect its financial results for 2009 as it was executed at fair value .",neutral,capman said the deal effect on its cash flow for 2009 totals eur3.4 but the transaction would not affect its financial results for 2009 as it was executed at fair value,36,31
Catalysts segment includes refinery catalysts and polyolefin catalysts product categories .,neutral,catalysts segment includes refinery catalysts and polyolefin catalysts product categories,11,10
"Comptel Corporation Sami Ervio President and CEO , Distribution : NASDAQ OMX Helsinki Major media Comptel Dynamic OSS solutions enable telecom service providers to deliver services flexibly and charge them effectively .",neutral,comptel corporation sami ervio president and ceo distribution nasdaq omx helsinki major medium comptel dynamic oss solutions enable telecom service providers to deliver services flexibly and charge them effectively,32,29
"Consisting of seven interconnected units , Mega Image 's logistics center will be 347 metres in length and 12 metres in height .",neutral,consisting of seven interconnected units mega image logistics center will be 347 metres in length and 12 metres in height,23,20
COPYRIGHT AFX News and AFX Financial News Logo are registered trademarks of AFX News Limited,neutral,copyright afx news and afx financial news logo are registered trademarks of afx news limited,15,15
Currency conversions are based on exchange rates at the time of the deal .,neutral,currency conversions are based on exchange rates at the time of the deal,14,13
"Digia will also set up two subsidiaries , Digia Norway AS and Digia USA Inc. .",neutral,digia will also set up two subsidiaries digia norway as and digia usa inc,16,14
Each share is entitled to one vote .,neutral,each share is entitled to one vote,8,7
Each year the dividend is deducted from the subscription price .,neutral,each year the dividend is deducted from the subscription price,11,10
Earnings per share EPS amounted to EUR0 .01 .,neutral,earnings per share eps amounted to eur0.01,9,7
Earnings per share were EUR -0.04 -0.06 .,neutral,earnings per share were euro 0.04 0.06,8,7
Elcoteq SE is listed on the Nasdaq OMX Helsinki Ltd. .,neutral,elcoteq se is listed on the nasdaq omx helsinki ltd,11,10
"Empresa de Desarrollo Urbano de Quito , INNOVAR-UIO , Ecuador has commissioned Poyry to prepare a feasibility study for a new urban rapid mass transit system .",neutral,empresa de desarrollo urbano de quito innovar uio ecuador has commissioned poyry to prepare a feasibility study for a new urban rapid mass transit system,27,25
"Ethanol would be made from barley , and production could start in 2008 .",neutral,ethanol would be made from barley and production could start in 2008,14,12
"EXEL COMPOSITES IN BRIEF Exel Composites is a technology company which designs , manufactures and markets composite profiles and tubes for industrial applications .",neutral,exel composites in brief exel composites is a technology company which designs manufactures and markets composite profiles and tubes for industrial applications,24,22
Exel is headquartered in Mantyharju in Finland .,neutral,exel is headquartered in mantyharju in finland,8,7
facades in Riga 8 March 2010 - Finnish construction company YIT Oyj HEL : YTY1V said today that it will build the frame and the facades in a tower construction project in Riga .,neutral,facades in riga march 2010 finnish construction company yit company Helsinki yty1v said today that it will build the frame and the facades in a tower construction project in riga,34,30
Fancy Dans on the move FAB Glasgow gift and interiors store Fancy Dans is moving !,neutral,fancy dans on the move fab glasgow gift and interiors store fancy dans is moving,16,15
"Financial Statements include the consolidated financial statements of the Group , the Board of Directors ' Report , the Auditors ' Report and the Corporate Governance Statement .",neutral,financial statements include the consolidated financial statements of the group the board of directors report the auditors report and the corporate governance statement,28,23
"Finnair expands : Finnair plans to add more flights on routes to Hong Kong , India and Russia .",positive,finnair expands finnair plans to add more flights on routes to hong kong india and russia,19,16
"Finnish metal components supplier Componenta on December 26 , 2006 applied for approval with the Turkish Capital Markets Board to launch a mandatory offer for the remaining shares in iron and aluminium castings producer Doktas Dokumculuk .",neutral,finnish metal components supplier componenta on december 26 2006 applied for approval with the turkish capital markets board to launch a mandatory offer for the remaining shares in iron and aluminium castings producer doktas dokumculuk,37,35
Finnlines will announce in week 17 of 2006 what measures it will take to tackle the situation .,neutral,finnlines will announce in week 17 of 2006 what measures it will take to tackle the situation,18,17
"firm 28 October 2009 - Finnish lifting equipment maker Konecranes Oyj HEL : KCR1V said today it acquired US Machine Tool Solutions Unlimited in Cincinnati , Ohio , for an undisclosed sum .",positive,firm 28 october 2009 finnish lifting equipment maker konecranes company Helsinki kcr1v said today it acquired us machine tool solutions unlimited in cincinnati ohio for an undisclosed sum,33,28
"Following the issue , the new shares will constitute 10 percent of the firm 's capital .",neutral,following the issue the new shares will constitute 10 percent of the firm capital,17,14
"Founded in 1923 , Finnair is one of the world 's oldest airlines and flies to 60 destinations with a fleet of 63 aircraft , employing 9,500 people .",neutral,founded in 1923 finnair is one of the world oldest airlines and flies to 60 destinations with a fleet of 63 aircraft employing 9500 people,29,25
"GeoSentric is acquiring extra financing by issuing a maximum of 220,000 new shares and a convertible bond with subscription rights for 880,000 shares , which have been fully subscribed .",neutral,geosentric is acquiring extra financing by issuing a maximum of 220000 new shares and a convertible bond with subscription rights for 880000 shares which have been fully subscribed,30,28
"Glaston 's share GLA1V is listed on the NASDAQ OMX Helsinki , Mid Cap List .",neutral,glaston share gla1v is listed on the nasdaq omx helsinki mid cap list,16,13
Grounds for the notification : Tiimari Plc 12/30/2010 issued Capital Convertible Loan allocation decision by the Board on 01/31/2011 .,neutral,grounds for the notification tiimari plc 12302010 issued capital convertible loan allocation decision by the board on 01312011,20,18
Growth is expected to continue in 2008 .,positive,growth is expected to continue in 2008,8,7
GyPSii service supports ten different languages including Korean and Russian .,neutral,gypsii service supports ten different languages including korean and russian,11,10
He confirmed his view on July 6 .,neutral,he confirmed his view on july,8,6
He is a member of the Board of numerous com-panies and a shareholder of the Boardman Ltd board specialist net-work .,neutral,he is a member of the board of numerous com panies and a shareholder of the boardman ltd board specialist net work,21,22
"HELSINKI AFX - Cargotec said it has bought a 95 pct stake in Indital Construction Machinery Ltd , a Bangalore-based company that makes fork lift trucks and mobile cranes , for an undisclosed sum .",neutral,helsinki afx cargotec said it has bought a 95 percent stake in indital construction machinery ltd a bangalore based company that makes fork lift trucks and mobile cranes for an undisclosed sum,35,32
"Helsinki-based Componenta bought Turkish listed company Doktas in October 2006 for 89 million euros , making it the largest Finnish investment in Turkey to date .",neutral,helsinki based componenta bought turkish listed company doktas in october 2006 for 89 million euros making it the largest finnish investment in turkey to date,26,25
"HUHTAMAKI OYJ STOCK EXCHANGE RELEASE , 16.9.2008 AT 13.32 Huhtamaki 's Capital Markets Day for institutional investors and analysts is held in Espoo , September 16 , 2008 starting at 13.30 pm Finnish time .",neutral,huhtamaki company stock exchange release 16.9.2008 at 13.32 huhtamaki capital markets day for institutional investors and analysts is held in espoo september 16 2008 starting at 13.30 pm finnish time,35,30
"In addition , nine fixed-term employment contracts will not be extended and two people will leave the company under pension arrangements .",neutral,in addition nine fixed term employment contracts will not be extended and two people will leave the company under pension arrangements,22,21
"In addition , the existing service counter area in the reception hall will be rebuilt and access provided to local rail connections .",neutral,in addition the existing service counter area in the reception hall will be rebuilt and access provided to local rail connections,23,21
"In addition a reduction of nine persons will be made through pension or other arrangements , the company added .",neutral,in addition a reduction of nine persons will be made through pension or other arrangements the company added,20,18
"In addition to the Tulikivi Corporation , he is also currently a member of the Board of the following companies : Altia Corporation , J+ñrvi-Suomen Portti Osuuskunta , Osuuskunta KPY , Profile Vehicles Oy and Voimatel Oy .",neutral,in addition to the tulikivi corporation he is also currently a member of the board of the following companies altia corporation jñrvi suomen portti osuuskunta osuuskunta kpy profile vehicles oy and voimatel oy,38,33
"In future , the plant will focus on the production of flange profiles for wind farm towers .",neutral,in future the plant will focus on the production of flange profiles for wind farm towers,18,16
In return the New York-based private equity firm will receive a 51 % stake in the Latvian IT and telecom group .,neutral,in return the new york based private equity firm will receive a 51 stake in the latvian it and telecom group,22,21
"Incap Corporation Stock Exchange Announcement 29 April 2010 at 1 p.m. INVITATION TO A NEWS CONFERENCE ON INCAP 'S INTERIM REPORT Q1-2010 Incap will publish its interim report for January-March 2010 on Wednesday , 5 May 2010 .",neutral,incap corporation stock exchange announcement 29 april 2010 at p.m. invitation to a news conference on incap interim report q1 2010 incap will publish its interim report for january march 2010 on wednesday may 2010,38,35
"India is high on our priority since business links between our two countries is also expanding , '' Tornstrom said .",neutral,india is high on our priority since business links between our two countries is also expanding tornstrom said,21,18
"Iso Omena is based in the Matinkyla district of the southern part of the city of Espoo , southern Finland .",neutral,iso omena is based in the matinkyla district of the southern part of the city of espoo southern finland,21,19
It moved into the No. 2 spot in 2000 when it merged steel operations with Avesta Sheffield to form AvestaPolarit .,neutral,it moved into the no spot in 2000 when it merged steel operations with avesta sheffield to form avestapolarit,21,19
"ITG 's share in the deal is estimated at some 500,000 euro $ 627,000 .",neutral,itg share in the deal is estimated at some 500000 euro 627000,15,12
"Its customers include local companies Slo Oy , Kiilto Oy , Toptronics Oy , Normark Suomi Oy , Pellonpaja Oy and Mansner Oy .",neutral,its customers include local companies slo oy kiilto oy toptronics oy normark suomi oy pellonpaja oy and mansner oy,24,19
"Ixonos estimates that it will hire 20 specialists in mechanical engineering , electronics design , and R&D for its new unit in Jyvaeskylae by the end of 2009 .",positive,ixonos estimates that it will hire 20 specialists in mechanical engineering electronics design and rd for its new unit in jyvaeskylae by the end of 2009,29,26
"Jensen , Njastein and Mike Critch , the head of Dovre North America business unit , will report to Toivola .",neutral,jensen njastein and mike critch the head of dovre north america business unit will report to toivola,21,17
"Jukka Hienonen , the current Finnair CEO , will step down at the end of January 2010 .",neutral,jukka hienonen the current finnair ceo will step down at the end of january 2010,18,15
"Kemira , headquartered in Helsinki , Finland , is an international chemicals group comprising the business areas Kemira Pulp & Paper , Kemira Water , Kemira Specialty and Kemira Coatings .",neutral,kemira headquartered in helsinki finland is an international chemicals group comprising the business areas kemira pulp paper kemira water kemira specialty and kemira coatings,31,24
Kemira 's partner in the project is St. Petersburg Water Works .,neutral,kemira partner in the project is st. petersburg water works,12,10
Kershaw takes up the position with immediate effect from her previous role as marketing manager of Sankey Home & Garden Products .,neutral,kershaw takes up the position with immediate effect from her previous role as marketing manager of sankey home garden products,22,20
KONE is listed on the Nordic Exchange in Helsinki .,neutral,kone is listed on the nordic exchange in helsinki,10,9
"L&T is operative in Finland , Sweden , Latvia , Russia and Norway .",neutral,lt is operative in finland sweden latvia russia and norway,14,10
"LEED is an internationally recognized green building certification system , developed by the U.S. Green Building Council .",neutral,leed is an internationally recognized green building certification system developed by the u.s. green building council,18,16
LONDON AFX - Fortum said it has agreed to sell its industrial maintenance service operations to funds managed by CapMan for an undisclosed sum .,neutral,london afx fortum said it has agreed to sell its industrial maintenance service operations to funds managed by capman for an undisclosed sum,25,23
"China Unicom , NYSE : CHU , HKSE : 0762 , and SHSE : 600050 , the second largest mobile carrier in the country .",neutral,china unicom nyse chu hkse 0762 and shse 600050 the second largest mobile carrier in the country,25,17
"mr Bakman sees also expansion options on the Tallinn-Helisnki link , claiming however , that operating the link with only a single ship is not enough .",neutral,mr bakman sees also expansion options on the tallinn helisnki link claiming however that operating the link with only a single ship is not enough,27,25
"M-real Corporation Press release on 3 November at 10:35 am M-real Corporation was the second best company in the materials sector including e.g. forest industry companies in the Carbon Disclosure Leadership Index CDLI , Nordic Report 2009 .",positive,real corporation press release on november at 1035 am real corporation was the second best company in the materials sector including e.g forest industry companies in the carbon disclosure leadership index cdli nordic report 2009,38,35
"M-Real said there are ` no grounds ' for the rumors , which ` have been circulating in the market for some months . '",neutral,real said there are no grounds for the rumors which have been circulating in the market for some months,25,19
"Nastola , axe 14 jobs 16 February 2010 - Finnish wood products technology firm Raute Oyj HEL : RUTAV said today that it will transfer to Nastola , southern Finland , the production of its Jyvaskyla plant , which will affect 14 people .",neutral,nastola axe 14 jobs 16 february 2010 finnish wood products technology firm raute company Helsinki rutav said today that it will transfer to nastola southern finland the production of its jyvaskyla plant which will affect 14 people,44,37
Net investment income,neutral,net investment income,3,3
"no compensation for its news , opinions or distributions .",neutral,no compensation for its news opinions or distributions,10,8
No financial details were available .,neutral,no financial details were available,6,5
No financial details were reported .,neutral,no financial details were reported,6,5
No more waste-burning facilities should be built .,neutral,no more waste burning facilities should be built,8,8
"Nokia said it still expects to sell 150 more million Symbian devices in years to come , giving an indication of how it expects the Phone 7 handoff to work .",neutral,nokia said it still expects to sell 150 more million symbian devices in years to come giving an indication of how it expects the phone handoff to work,31,28
Nordea Bank Estonia is part of the largest financial group in the Nordic countries .,neutral,nordea bank estonia is part of the largest financial group in the nordic countries,15,14
"On Dec. 1 , Grimaldi acquired 1.5 million shares and a 50.1-percent stake in Finnlines .",neutral,on dec. grimaldi acquired 1.5 million shares and a 50.1 percent stake in finnlines,16,14
Operating cash flow after investments totalled EUR 61.3 mn compared to EUR 75.3 mn in the corresponding period in 2007 .,negative,operating cash flow after investments totalled euro 61.3 million compared to euro 75.3 million in the corresponding period in 2007,21,20
Oriola-KD expects its invoicing in 2008 to be higher than the comparable invoicing of 2007 .,positive,oriola kd expects its invoicing in 2008 to be higher than the comparable invoicing of 2007,16,16
